correctTag,targetWord,orderingId,sessionId,draggedTag,serie
Pontuação,.,0,Jh1538yCDy,Pontuação,6-ensino-fundamental
Artigo,O,1,Jh1538yCDy,Substantivo,6-ensino-fundamental
Substantivo,banco,2,Jh1538yCDy,Artigo,6-ensino-fundamental
Substantivo,banco,3,Jh1538yCDy,Substantivo,6-ensino-fundamental
Artigo,O,4,Jh1538yCDy,Artigo,6-ensino-fundamental
Verbo de Ligação,estava,5,Jh1538yCDy,Verbo de Ligação,6-ensino-fundamental
Adjetivo,fechado,6,Jh1538yCDy,Adjetivo,6-ensino-fundamental
Preposição+Artigo,no,7,Jh1538yCDy,Preposição+Artigo,6-ensino-fundamental
Substantivo,domingo,8,Jh1538yCDy,Substantivo,6-ensino-fundamental
Artigo,A,0,sG5waJDrZM,Verbo,9-ensino-fundamental
Artigo,A,1,sG5waJDrZM,Preposição,9-ensino-fundamental
Artigo,A,2,sG5waJDrZM,Artigo,9-ensino-fundamental
Substantivo,mãe,3,sG5waJDrZM,Substantivo,9-ensino-fundamental
Verbo,viu,4,sG5waJDrZM,Verbo,9-ensino-fundamental
Artigo,o,5,sG5waJDrZM,Artigo,9-ensino-fundamental
Substantivo,filho,6,sG5waJDrZM,Substantivo,9-ensino-fundamental
Preposição,com,7,sG5waJDrZM,Artigo,9-ensino-fundamental
Preposição,com,8,sG5waJDrZM,Preposição,9-ensino-fundamental
Artigo,o,9,sG5waJDrZM,Artigo,9-ensino-fundamental
Substantivo,binóculo,10,sG5waJDrZM,Substantivo,9-ensino-fundamental
Pontuação,.,11,sG5waJDrZM,Pontuação,9-ensino-fundamental
Artigo,O,0,I5bcwYHFgP,Verbo,9-ensino-fundamental
Verbo,desenhou,1,I5bcwYHFgP,Verbo,9-ensino-fundamental
Pontuação,.,2,I5bcwYHFgP,Pontuação,9-ensino-fundamental
Advérbio,sinceramente,0,AhumsI88kP,Pontuação,9-ensino-fundamental
Substantivo,retrato,3,I5bcwYHFgP,Artigo,9-ensino-fundamental
Pontuação,.,1,AhumsI88kP,Pontuação,9-ensino-fundamental
Substantivo,retrato,4,I5bcwYHFgP,Substantivo,9-ensino-fundamental
Artigo,o,5,I5bcwYHFgP,Substantivo,9-ensino-fundamental
Substantivo,carvão,6,I5bcwYHFgP,Substantivo,9-ensino-fundamental
Substantivo,artista,7,I5bcwYHFgP,Substantivo,9-ensino-fundamental
Verbo,feito,2,AhumsI88kP,Verbo,9-ensino-fundamental
Preposição,com,8,I5bcwYHFgP,Preposição,9-ensino-fundamental
Artigo,O,9,I5bcwYHFgP,Artigo,9-ensino-fundamental
Artigo,o,10,I5bcwYHFgP,Artigo,9-ensino-fundamental
Pontuação,",",3,AhumsI88kP,Pontuação,9-ensino-fundamental
Verbo,acredito,4,AhumsI88kP,Verbo,9-ensino-fundamental
Conjunção Subordinativa,que,5,AhumsI88kP,Verbo Auxiliar,9-ensino-fundamental
Verbo,tirou,0,B8LLoPpdgq,Verbo,9-ensino-fundamental
Pronome,você,6,AhumsI88kP,Pronome,9-ensino-fundamental
Pronome,isso,7,AhumsI88kP,Verbo Auxiliar,9-ensino-fundamental
Pontuação,.,1,B8LLoPpdgq,Pontuação,9-ensino-fundamental
Substantivo,nota,2,B8LLoPpdgq,Substantivo,9-ensino-fundamental
Substantivo,nota,3,B8LLoPpdgq,Substantivo,9-ensino-fundamental
Verbo Auxiliar,tenha,8,AhumsI88kP,Conjunção Subordinativa,9-ensino-fundamental
Substantivo,aluno,4,B8LLoPpdgq,Substantivo,9-ensino-fundamental
Artigo,uma,5,B8LLoPpdgq,Adjetivo,9-ensino-fundamental
Verbo Auxiliar,tenha,9,AhumsI88kP,Advérbio,9-ensino-fundamental
Advérbio,Não,10,AhumsI88kP,Pronome,9-ensino-fundamental
Artigo,uma,6,B8LLoPpdgq,Artigo,9-ensino-fundamental
Conjunção Subordinativa,que,11,AhumsI88kP,Pronome,9-ensino-fundamental
Adjetivo,ruim,7,B8LLoPpdgq,Artigo,9-ensino-fundamental
Pronome,isso,12,AhumsI88kP,Verbo Auxiliar,9-ensino-fundamental
Pronome,isso,13,AhumsI88kP,Conjunção Subordinativa,9-ensino-fundamental
Adjetivo,ruim,8,B8LLoPpdgq,Artigo,9-ensino-fundamental
