correctTag,targetWord,eventType,orderingId,sessionId,draggedTag
Verbo,Será,interaction,0,xqEk5ZfKaG,Pronome
Verbo,Será,interaction,1,xqEk5ZfKaG,Conjunção Subordinativa
Pontuação,",",interaction,0,uQY36KP907,Pontuação
Pontuação,!,interaction,1,uQY36KP907,Pontuação
Substantivo,árvore,interaction,0,X2RK9EgWWZ,Substantivo
Pontuação,.,interaction,1,X2RK9EgWWZ,Pontuação
Substantivo,folha,interaction,2,X2RK9EgWWZ,Substantivo
Verbo,caiu,interaction,3,X2RK9EgWWZ,Verbo
Artigo,A,interaction,4,X2RK9EgWWZ,Artigo
Preposição+Artigo,da,interaction,5,X2RK9EgWWZ,Preposição+Artigo
Verbo,entreguem,interaction,0,Gl4TVz6WGG,Verbo
Pontuação,.,interaction,1,Gl4TVz6WGG,Pontuação
Pontuação,",",interaction,0,dddiIZB6l2,Pontuação
Pontuação,.,interaction,1,dddiIZB6l2,Pontuação
Pronome,você,interaction,2,dddiIZB6l2,Pronome
Pronome,Eles,interaction,0,guR5zyhsGR,Pronome
Verbo,correram,interaction,1,guR5zyhsGR,Verbo
Pontuação,.,interaction,0,TZfQp-BX1Z,Pontuação
Artigo,O,interaction,1,TZfQp-BX1Z,Artigo
Substantivo,cão,interaction,2,TZfQp-BX1Z,Substantivo
Verbo,mordeu,interaction,3,TZfQp-BX1Z,Verbo
Artigo,o,interaction,4,TZfQp-BX1Z,Artigo
Substantivo,carteiro,interaction,5,TZfQp-BX1Z,Substantivo
Verbo,brincando,interaction,6,TZfQp-BX1Z,Verbo
Pontuação,.,interaction,0,isWVctUU6k,Pontuação
Pontuação,.,interaction,0,KeEqUDcI-P,Pontuação
Nome Próprio,João,interaction,1,isWVctUU6k,Nome Próprio
Verbo,chegou,interaction,2,isWVctUU6k,Verbo
Pontuação,",",interaction,1,KeEqUDcI-P,Pontuação
Advérbio,cedo,interaction,3,isWVctUU6k,Advérbio
Preposição+Artigo,à,interaction,4,isWVctUU6k,Preposição+Artigo
Substantivo,escola,interaction,5,isWVctUU6k,Substantivo
Artigo,O,interaction,0,0X2gkzunMt,Verbo
Artigo,O,interaction,1,0X2gkzunMt,Artigo
Artigo,o,interaction,2,0X2gkzunMt,Artigo
Pontuação,!,interaction,0,CBG8FaDuF6,Pontuação
Substantivo,motorista,interaction,3,0X2gkzunMt,Preposição+Artigo
Pronome,ela,interaction,1,CBG8FaDuF6,Pronome
Substantivo,motorista,interaction,4,0X2gkzunMt,Substantivo
Verbo,parou,interaction,5,0X2gkzunMt,Verbo
Substantivo,carro,interaction,6,0X2gkzunMt,Substantivo
Advérbio,perto,interaction,7,0X2gkzunMt,Advérbio
Preposição+Artigo,da,interaction,8,0X2gkzunMt,Substantivo
Substantivo,menina,interaction,0,lWbo4-qfl-,Substantivo
Preposição+Artigo,da,interaction,9,0X2gkzunMt,Pontuação
Verbo Auxiliar,tenha,interaction,2,CBG8FaDuF6,Artigo
Preposição+Artigo,da,interaction,10,0X2gkzunMt,Preposição+Artigo
Verbo Auxiliar,tenha,interaction,3,CBG8FaDuF6,Verbo Auxiliar
Substantivo,praça,interaction,11,0X2gkzunMt,Substantivo
Verbo,leu,interaction,1,lWbo4-qfl-,Substantivo
Pontuação,.,interaction,12,0X2gkzunMt,Pontuação
Substantivo,livro,interaction,2,lWbo4-qfl-,Verbo
Pontuação,.,interaction,3,lWbo4-qfl-,Pontuação
Verbo,leu,interaction,4,lWbo4-qfl-,Artigo
Verbo,leu,interaction,5,lWbo4-qfl-,Artigo
Artigo,A,interaction,6,lWbo4-qfl-,Artigo
Verbo,leu,interaction,7,lWbo4-qfl-,Artigo
Artigo,um,interaction,8,lWbo4-qfl-,Substantivo
Substantivo,trabalho,interaction,4,CBG8FaDuF6,Verbo
Pontuação,!,interaction,0,tWd7qxfjt4,Pontuação
Substantivo,livro,interaction,9,lWbo4-qfl-,Verbo
Verbo,conseguido,interaction,5,CBG8FaDuF6,Verbo
Interjeição,Ei,interaction,1,tWd7qxfjt4,Verbo
Verbo,terminar,interaction,6,CBG8FaDuF6,Advérbio
Interjeição,Ei,interaction,2,tWd7qxfjt4,Advérbio
Verbo,leu,interaction,10,lWbo4-qfl-,Substantivo
Advérbio,rapidamente,interaction,0,_Nwyqb1jv8,Pontuação
Verbo,terminar,interaction,7,CBG8FaDuF6,Advérbio
Interjeição,Ei,interaction,3,tWd7qxfjt4,Artigo
Advérbio,rapidamente,interaction,1,_Nwyqb1jv8,Verbo
Interjeição,Ei,interaction,4,tWd7qxfjt4,Advérbio
Advérbio,rapidamente,interaction,2,_Nwyqb1jv8,Substantivo
Advérbio,rapidamente,interaction,3,_Nwyqb1jv8,Advérbio
Verbo,leu,interaction,11,lWbo4-qfl-,Artigo
Artigo,o,interaction,8,CBG8FaDuF6,Conjunção Subordinativa
Interjeição,Ei,interaction,5,tWd7qxfjt4,Interjeição
Pontuação,.,interaction,6,tWd7qxfjt4,Pontuação
Nome Próprio,Marcos,interaction,0,ZwICcPTWXt,Pontuação
Pontuação,.,interaction,1,ZwICcPTWXt,Pontuação
Conjunção Subordinativa,que,interaction,9,CBG8FaDuF6,Artigo
Verbo,acredito,interaction,10,CBG8FaDuF6,Advérbio
Verbo,levou,interaction,2,ZwICcPTWXt,Verbo
Advérbio,tão,interaction,11,CBG8FaDuF6,Substantivo
Advérbio,tão,interaction,12,CBG8FaDuF6,Advérbio
Substantivo,trabalho,interaction,13,CBG8FaDuF6,Conjunção Subordinativa
Substantivo,trabalho,interaction,14,CBG8FaDuF6,Adjetivo
Substantivo,flores,interaction,3,ZwICcPTWXt,Substantivo
Nome Próprio,Marcos,interaction,4,ZwICcPTWXt,Nome Próprio
Adjetivo,cansado,interaction,5,ZwICcPTWXt,Artigo
Adjetivo,cansado,interaction,6,ZwICcPTWXt,Adjetivo
Substantivo,mãe,interaction,7,ZwICcPTWXt,Substantivo
Conjunção Subordinativa,Embora,interaction,0,SuYeud1ugs,Conjunção Subordinativa
Artigo,o,interaction,1,SuYeud1ugs,Artigo
Substantivo,projeto,interaction,2,SuYeud1ugs,Substantivo
Verbo Auxiliar,tenha,interaction,3,SuYeud1ugs,Verbo Auxiliar
Verbo Auxiliar,sido,interaction,4,SuYeud1ugs,Verbo
Verbo Auxiliar,sido,interaction,5,SuYeud1ugs,Verbo
Verbo Auxiliar,sido,interaction,6,SuYeud1ugs,Verbo Auxiliar
Verbo,aprovado,interaction,7,SuYeud1ugs,Verbo
Pontuação,",",interaction,8,SuYeud1ugs,Pontuação
Pronome,muitos,interaction,9,SuYeud1ugs,Adjetivo
Pronome,muitos,interaction,10,SuYeud1ugs,Substantivo
Verbo,questionaram,interaction,11,SuYeud1ugs,Verbo
Artigo,sua,interaction,12,SuYeud1ugs,Pronome
Artigo,sua,interaction,13,SuYeud1ugs,Pronome
Substantivo,viabilidade,interaction,14,SuYeud1ugs,Substantivo
Adjetivo,econômica,interaction,15,SuYeud1ugs,Adjetivo
Artigo,sua,interaction,16,SuYeud1ugs,Pronome
Artigo,sua,interaction,17,SuYeud1ugs,Artigo
Pronome,muitos,interaction,18,SuYeud1ugs,Pronome
Pontuação,.,interaction,19,SuYeud1ugs,Pontuação
Nome Próprio,Ana,interaction,0,KsInp4YbUn,Nome Próprio
Verbo,trouxe,interaction,1,KsInp4YbUn,Verbo
Substantivo,flores,interaction,2,KsInp4YbUn,Substantivo
