startTime,serie,words,eventType,sessionId
2025-05-27 00:49:01.547000+00:00,5-ensino-fundamental,"[{'tag': 'Verbo', 'word': 'Será'}, {'tag': 'Conjunção Subordinativa', 'word': 'que'}, {'tag': 'Pronome', 'word': 'alguém'}, {'tag': 'Verbo', 'word': 'explicou'}, {'tag': 'Pronome', 'word': 'o'}, {'tag': 'Pronome', 'word': 'que'}, {'tag': 'Verbo', 'word': 'aconteceu'}, {'tag': 'Preposição+Artigo', 'word': 'na'}, {'tag': 'Substantivo', 'word': 'aula'}, {'tag': 'Adjetivo', 'word': 'passada'}, {'tag': 'Pontuação', 'word': '?'}]",new-session,xqEk5ZfKaG
2025-05-27 01:01:42.509000+00:00,5-ensino-fundamental,"[{'tag': 'Nome Próprio', 'word': 'Ufa'}, {'tag': 'Pontuação', 'word': ','}, {'tag': 'Verbo', 'word': 'achei'}, {'tag': 'Conjunção Subordinativa', 'word': 'que'}, {'tag': 'Advérbio', 'word': 'não'}, {'tag': 'Verbo de Ligação', 'word': 'fosse'}, {'tag': 'Verbo', 'word': 'chegar'}, {'tag': 'Preposição', 'word': 'a'}, {'tag': 'Substantivo', 'word': 'tempo'}, {'tag': 'Pontuação', 'word': '!'}]",new-session,uQY36KP907
2025-05-27 11:11:54.325000+00:00,6-ensino-fundamental,"[{'tag': 'Artigo', 'word': 'A'}, {'tag': 'Substantivo', 'word': 'folha'}, {'tag': 'Verbo', 'word': 'caiu'}, {'tag': 'Preposição+Artigo', 'word': 'da'}, {'tag': 'Substantivo', 'word': 'árvore'}, {'tag': 'Pontuação', 'word': '.'}]",new-session,X2RK9EgWWZ
2025-05-27 11:12:37.255000+00:00,2-ensino-medio,"[{'tag': 'Pronome', 'word': 'Você'}, {'tag': 'Advérbio', 'word': 'já'}, {'tag': 'Verbo', 'word': 'terminou'}, {'tag': 'Artigo', 'word': 'o'}, {'tag': 'Substantivo', 'word': 'dever'}, {'tag': 'Preposição', 'word': 'de'}, {'tag': 'Substantivo', 'word': 'casa'}, {'tag': 'Pontuação', 'word': '?'}]",new-session,IONQQWNtUo
2025-05-27 12:21:30.712000+00:00,1-ensino-medio,"[{'tag': 'Advérbio', 'word': 'Depois'}, {'tag': 'Conjunção Subordinativa', 'word': 'que'}, {'tag': 'Artigo', 'word': 'o'}, {'tag': 'Substantivo', 'word': 'sol'}, {'tag': 'Pronome', 'word': 'se'}, {'tag': 'Verbo', 'word': 'pôs'}, {'tag': 'Pontuação', 'word': ','}, {'tag': 'Artigo', 'word': 'o'}, {'tag': 'Substantivo', 'word': 'frio'}, {'tag': 'Verbo', 'word': 'começou'}, {'tag': 'Conjunção Subordinativa', 'word': 'a'}, {'tag': 'Verbo', 'word': 'aumentar'}, {'tag': 'Pontuação', 'word': '.'}]",new-session,brmbB7P32D
2025-05-27 12:22:00.316000+00:00,4-ensino-fundamental,"[{'tag': 'Interjeição', 'word': 'Meu'}, {'tag': 'Interjeição', 'word': 'Deus'}, {'tag': 'Pontuação', 'word': ','}, {'tag': 'Advérbio', 'word': 'como'}, {'tag': 'Pronome', 'word': 'isso'}, {'tag': 'Verbo', 'word': 'pode'}, {'tag': 'Verbo Auxiliar', 'word': 'ter'}, {'tag': 'Verbo', 'word': 'acontecido'}, {'tag': 'Advérbio', 'word': 'assim'}, {'tag': 'Advérbio', 'word': 'tão'}, {'tag': 'Advérbio', 'word': 'rápido'}, {'tag': 'Pontuação', 'word': '?'}]",new-session,46b539TwiG
2025-05-27 12:32:00.787000+00:00,6-ensino-fundamental,"[{'tag': 'Verbo', 'word': 'Gosto'}, {'tag': 'Conjunção Subordinativa', 'word': 'de'}, {'tag': 'Verbo', 'word': 'ler'}, {'tag': 'Substantivo', 'word': 'livros'}, {'tag': 'Preposição', 'word': 'de'}, {'tag': 'Substantivo', 'word': 'aventura'}, {'tag': 'Conjunção Coordenativa', 'word': 'e'}, {'tag': 'Substantivo', 'word': 'mistério'}, {'tag': 'Pontuação', 'word': '.'}]",new-session,o9FQwWt_5Q
2025-05-27 12:32:26.206000+00:00,6-ensino-fundamental,"[{'tag': 'Verbo de Ligação', 'word': 'É'}, {'tag': 'Adjetivo', 'word': 'importante'}, {'tag': 'Conjunção Subordinativa', 'word': 'que'}, {'tag': 'Artigo', 'word': 'todos'}, {'tag': 'Artigo', 'word': 'os'}, {'tag': 'Substantivo', 'word': 'alunos'}, {'tag': 'Verbo', 'word': 'entreguem'}, {'tag': 'Artigo', 'word': 'o'}, {'tag': 'Substantivo', 'word': 'trabalho'}, {'tag': 'Preposição', 'word': 'até'}, {'tag': 'Substantivo', 'word': 'sexta-feira'}, {'tag': 'Pontuação', 'word': '.'}]",new-session,Gl4TVz6WGG
2025-05-27 12:35:30.098000+00:00,9-ensino-fundamental,"[{'tag': 'Advérbio', 'word': 'Não'}, {'tag': 'Verbo', 'word': 'acredito'}, {'tag': 'Conjunção Subordinativa', 'word': 'que'}, {'tag': 'Pronome', 'word': 'você'}, {'tag': 'Verbo Auxiliar', 'word': 'tenha'}, {'tag': 'Verbo', 'word': 'feito'}, {'tag': 'Pronome', 'word': 'isso'}, {'tag': 'Pontuação', 'word': ','}, {'tag': 'Advérbio', 'word': 'sinceramente'}, {'tag': 'Pontuação', 'word': '.'}]",new-session,dddiIZB6l2
2025-05-27 12:38:58.799000+00:00,9-ensino-fundamental,"[{'tag': 'Pronome', 'word': 'Eles'}, {'tag': 'Verbo', 'word': 'correram'}, {'tag': 'Conjunção Subordinativa', 'word': 'para'}, {'tag': 'Verbo', 'word': 'pegar'}, {'tag': 'Artigo', 'word': 'o'}, {'tag': 'Substantivo', 'word': 'ônibus'}, {'tag': 'Pontuação', 'word': '.'}]",new-session,guR5zyhsGR
